Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,
fire_breathing_oplophorid_shrimp,Acanthephyra_purpurea,invert,arthropod,crustacean,low,ERG,,18,,0.27,5,pelagic,pred_forage,scavenger,no,,
Fan_worm,Acromegalomma_vesiculosum,invert,annelid,polychaete,low,ERG,,35,100,2,10,demersal,deposite,sessile ,,mass for a cylinder 10cm long 0.25 wide and with sodt tissue density of 1gcm3 used picture from paper,
Big_claw_snapping_shrimp,Alpheus_heterochaelis,invert,arthropod,crustacean,high,ERG,160,200,20,1,,marine_reef,pred_ballistic,,,mass needs to be calculated length from https://naturalhistory2.si.edu/smsfp/irlspec/Alpheus_heterochaelis.htm,
Tiger_salamander,Ambystoma_tigrinum,vert,amphibian,amphibian,low,ERG,,30,,10.78,,terrestrial,pred_ballistic,,,,
Bowfin,Amia_calva,vert,fish,fish,low,ERG,,38,680,9800,,demersal,pred_ballistic,scavenger/oppertunist ,,,
Pedersons_cleaner_shrimp,Ancylomenes_pedersoni,invert,arthropod,crustacean,high,ERG,,48,,,24,marine_reef,scavenger,,,need_size,
European_eel,Anguilla_anguilla,vert,fish,fish,low,Beh,14,14,500,71.1,,demersal,pred_forage,predator,,,
Dragonflies,Anisoptera,invert,arthropod,insect,high,ERG,240,300,,0.72,,volant,pred_pursuit,volant,,,
anole_lizard,Anolis_auratus,vert,reptile,reptile,high,ERG,41.45,44,57,,,arboreal,,predator_sit_and_wait,,,
anole_lizard,Anolis_carolinensis,vert,reptile,reptile,high,ERG,34.55,36,203.2,6,,arboreal,pred_ballistic,scavenger/insectivors ,no,,
Anole,Anolis_cristatellus,vert,reptile,reptile,high,ERG,,58.5,,6,,arboreal,pred_ballistic,,,need_size,
anole_lizard,Anolis_grahami,vert,reptile,reptile,high,ERG,34.65,36,160,,,arboreal,,scavenger/insectivors ,,,
anole_lizard,Anolis_gundlachi,vert,reptile,reptile,high,ERG,50,55,68,,,arboreal,,predator/scavenger/insectivors ,,,
anole_lizard,Anolis_limifrons,vert,reptile,reptile,high,ERG,28.5,29,43.5,1.006,,arboreal,pred_ballistic,scavenger/insectivors ,no,,
anole_lizard,Anolis_neckeri,vert,reptile,reptile,high,ERG,26,26,35-85,,,arboreal,,scavenger/insectivors ,no,approzx 4g,
anole_lizard,Anolis_pulchellus,vert,reptile,reptile,high,ERG,63,63,43,,,arboreal,,scavenger/insectivors ,,,
anole_lizard,Anolis_sagrei,vert,reptile,reptile,high,ERG,34.4,35,68,8,,arboreal,pred_ballistic,predator/scavenger/insectivors ,no,,
