Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,,
Xenos_peckii,Xenos_peckii,invert,arthropod,insect,high,ERG,35,35,,0.00102,,volant,pred_forage,volant,,https://www.nature.com/articles/s41377-018-0081-2,,
Fruit_fly,Drosophila_hydei,invert,arthropod,insect,high,ERG,81.9,100,,0.09,,volant,pred_forage,volant,,0.009,,
Tsetse_fly,Glossina_morsitans,invert,arthropod,insect,high,ERG,145,205,,0.0092,,volant,pred_forage,volant,,"This gets dropped, check out why as it will lend more power to the analysis",,
Blow_fly,Calliphoridae,invert,arthropod,insect,high,ERG,240,300,,0.0092,,volant,pred_forage,volant,,,,
Firefly,Photinus_pyralis ,invert,arthropod,insect,low,ERG,40,,,0.013,,volant,pred_forage,volant,,,,
Jumping_spider,Maevia_inclemens,invert,arthropod,spider,high,ERG,,40,,0.0145,,terrestrial,pred_ballistic,oppertunistic_predator ,,,,
Soilder_beetle,Chauliognathus_marginatus,invert,arthropod,insect,high,ERG,45,45,,0.01563,,terrestrial,pred_forage,scavenger,,,,
Black_fire_beetle,Melanophila_acuminata,invert,arthropod,insect,high,ERG,,400,,0.02116,,volant,pred_forage,volant,,not sure about predator cant find info,300,
Pandalid_shrimp,Funchalia_villosa,invert,arthropod,crustacean,low,ERG,,24,,0.0245,5,demersal,pred_ballistic,scavenger,no,,,
honey_bee,Apis_mellifera,invert,arthropod,insect,high,ERG,240,300,,0.0268,,volant,pred_forage,volant,,,,
Euphausiid_shrimp,Nematobrachion_flexipes,invert,arthropod,crustacean,low,ERG,44,44,,0.038,8,bathypelagic,pred_ballistic,,,not sure on predatory need to check,,
Euphausiid_shrimp,Stylocheiron_maximum,invert,arthropod,crustacean,low,ERG,,44,,0.048,5,bathypelagic,pred_ballistic,scavenger,no,,,
Deep_sea_shrimp,Heterocarpus_ensifer,invert,arthropod,crustacean,low,ERG,,16,,0.066,6,demersal,pred_forage,scavenger,yes,hard to infer,,
Euphausiid_shrimp,Nematoscelis_megalops,invert,arthropod,crustacean,low,ERG,,48,,0.066,5,bathypelagic,pred_ballistic,scavenger,no,,,
Euphausiid_shrimp,Euphausia_gibboides,invert,arthropod,crustacean,low,ERG,,32,,0.07,5,bathypelagic,pred_forage,scavenger,,,,
Euphausiid_shrimp,Nematobrachian_boopis,invert,arthropod,crustacean,low,ERG,,50,,0.072,5,bathypelagic,pred_ballistic,scavenger,,,,
Euphausiid_shrimp,Nematobrachion_sexpinosus,invert,arthropod,crustacean,low,ERG,,54,,0.13,5,bathypelagic,pred_ballistic,scavenger,no,,,
Japenese_Rice_fish,Oryzias_latipes,vert,fish,fish,low,ERG,,37.2,32,0.21,25,benthopelagic,pred_forage,scavenger,,,,
Pedersons_cleaner_shrimp,Ancylomenes_pedersoni,invert,arthropod,crustacean,high,ERG,,48,,0.25,24,marine_reef,scavenger,,,,,
oplophorid_shrimp,Oplophorus_gracilirostris,invert,arthropod,crustacean,low,ERG,,32,,0.26,8,bathypelagic,pred_ballistic,scavenger,,not sure on predatory need to check,,
fire_breathing_oplophorid_shrimp,Acanthephyra_purpurea,invert,arthropod,crustacean,low,ERG,,18,,0.27,5,pelagic,pred_forage,scavenger,no,,,
oplophorid_shrimp,Janicella_spinacauda,invert,arthropod,crustacean,low,ERG,,29,20,0.27,5,demersal,scavenger,scavenger,no,,,
oplophorid_shrimp,Systellaspis_debilis,invert,arthropod,crustacean,low,ERG,,21,,0.28,8,bathypelagic,pred_ballistic,scavenger,no,,,
green_swordtail,Xiphophorus_helleri,vert,fish,fish,high,ERG,42,42,28,0.3,21.5,demersal,pred_forage,scavenger,,used_fishbase,,
Chinese_oak_tussar_moth,Antheraea_pernyi,invert,arthropod,insect,low,ERG,42.5,70,,0.34,,volant,pred_forage,,,mass from emporer moth used,,
Emperor_moth,Saturnia_pavonia,invert,arthropod,insect,low,ERG,75,85,,0.34,,volant,pred_forage,volant,,,,
