CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF_raw,CFF_variability,CFF_variability_type,CFF,CFF_max,Comments_from_2022,,,,,,,,,,,,
"Ali, M. A.; Kobayashi, H. 1968 Electroretinogram - Flicker fusion frequency in albino trout Electroretinogram - Flicker fusion frequency in albino trout Ali, M. A.; Kobayashi, H.",y,M,Actinopterygii,American brook charr,Salvelinus fontinalis,Salvelinus_fontinalis,"Salvelinus fontinalis Mitchill, 1814",pelagic,high,ballistic,"Farwell, M. and McLaughlin, R.L., 2009. Alternative foraging tactics and risk taking in brook charr (Salvelinus fontinalis). Behavioral Ecology, 20(5), pp.913-921.",214,fisebase_from_26.4cm_common_length,ERG,Electrophysiology,mean,~67.5,Unknown,NA,68,75,diagram reading of the mean for light adapted animals at maximum intensity of 600 ft-c; higher valuer for albinos for lower intensities; range of values (~59.58-74.98),,,,,,,,,,,,
AULT S J; HOUSE E W 1987 ELECTRORETINOGRAPHIC RESPONSES OF THE GREAT HORNED OWL BUBO-VIRGINIANUS ELECTRORETINOGRAPHIC RESPONSES OF THE GREAT HORNED OWL BUBO-VIRGINIANUS AULT S J; HOUSE E W,y,H,Aves,Great horned owl,Bubo virginianus,Bubo_virginianus,"Bubo virginianus J.F.Gmelin, 1788",volant,low,ballistic,Handbook_birds_of_the_world,1377,amniote,ERG,Electrophysiology,range,35-45,Unknown,NA,40,45,"range and maximum photopic ; mean and SEscotopic = 16 ± 3,7 Hz",,,,,,,,,,,,
"Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos 2007 Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,ERG,Electrophysiology,Unknown,~34,Unknown,NA,34,34,"FFF; ""the behavioral flicker fusion frequency, about 39 Hz, is approximately 5 Hz higher than the ERG-derived flicker fusion frequency""",,,,,,,,,,,,
"Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos 2007 Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Temporal resolution and temporal transfer properties: Gabaergic and cholinergic mechanisms Behrend, Konstantin; Benkner, Boris; Mora-Ferrer, Carlos",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Behavioural,Behavioural,range,39-40,Unknown,NA,39.5,40,FFF ; range for behavioural for half-maximal behavioural response,,,,,,,,,,,,
"Bilotta, J; Lynd, FM; Powers, MK 1998 Effects of mean luminance on goldfish temporal contrast sensitivity Effects of mean luminance on goldfish temporal contrast sensitivity Bilotta, J; Lynd, FM; Powers, MK",y,M,Actinopterygii,Goldfish,Carassius auratus,Carassius_auratus,"Carassius auratus Linnaeus, 1758",pelagic,high,forage,"Fishbase description of Feed mainly on plankton, benthic invertebrates, plant material and detritus",16.65,fisebase_10cm common length,Behavioural,Behavioural,extrapolation,24,Unknown,NA,24,24,"at 10 cd/m 2, FFF ; ""The CFF at l0 cd/m 2, determined by extrapolating to find the temporal frequency detectable at 25% contrast (0.6 on the log contrast sensitivity axis), is about 24 Hz"" ; ""At a mean luminance of 10 -1 cd/m 2, the CFF was about 13 Hz. """,,,,,,,,,,,,
"Bobkova, MV; Tartakovskaya, OS; Borissenko, SL; Zhukov, VV; Meyer-Rochow, VB 2004 Restoration of morphological and functional integrity in the regenerating eye of the giant African land snail Achatina fulica Restoration of morphological and functional integrity in the regenerating eye of the giant African land snail Achatina fulica Bobkova, MV; Tartakovskaya, OS; Borissenko, SL; Zhukov, VV; Meyer-Rochow, VB",y,M,Gastropoda,Giant African Snail,Achatina fulica,Achatina_fulica,"Lissachatina fulica Bowdich, 1822",terrestrial,low,forage,"Herbivorous feeding behavior as described in Silva, G.M.D., Thiengo, S.C., Menezes, A.N., Melo, C.M.D. and Jeraldo, V.D.L.S., 2022. Relative condition factor and predictive model for the presence of the invasive snail Achatina (Lissachatina) fulica in Sergipe, Northeast Brazil. Biota Neotropica, 22(2), p.e20211323.",62.075,"mean from  Silva, G.M.D., Thiengo, S.C., Menezes, A.N., Melo, C.M.D. and Jeraldo, V.D.L.S., 2022. Relative condition factor and predictive model for the presence of the invasive snail Achatina (Lissachatina) fulica in Sergipe, Northeast Brazil. Biota Neotropica, 22(2), p.e20211323.",ERG,Electrophysiology,mean,0.57,0.08,NA,0.57,0.7,"""electrical response fused at""; variation: N = 9",,,,,,,,,,,,
"Bok, Michael J.; Nilsson, Dan-Eric; Garm, Anders 2019 Photoresponses in the radiolar eyes of the fan worm Acromegalomma vesiculosum Photoresponses in the radiolar eyes of the fan worm Acromegalomma vesiculosum Bok, Michael J.; Nilsson, Dan-Eric; Garm, Anders",y,M,Polychaeta,fan_worm,Acromegalomma vesiculosum,Branchiomma_vesiculosum,"Acromegalomma vesiculosum Montagu, 1813",demersal,high,forage,"Deposite feeding from Bok, Michael J.; Nilsson, Dan-Eric; Garm, Anders 2019 Photoresponses in the radiolar eyes of the fan worm Acromegalomma vesiculosum Photoresponses in the radiolar eyes of the fan worm Acromegalomma vesiculosum Bok, Michael J.; Nilsson, Dan-Eric; Garm, Anders",2,needs estimated mass,ERG,Electrophysiology,range,30-35,Unknown,NA,32.5,35,"for radiolar eyes : range for 14 eyes ; averaged Fourier transform power curves, which cross a 5 % threshold at around 32 Hz; ""shallow"" waters",,,,,,,,,,,,I stopped here
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",y,L,Aves,Eurasian blue tit,Cyanistes caeruleus,Parus_caeruleus,"Cyanistes caeruleus Linnaeus, 1758",volant,high,forage,Handbook_birds_of_the_world,11.2,amniote,Behavioural,Behavioural,mean,130.3,0.94,SD,130.3,131,mean at 1500 cd.m-2 ; maximum 131 Hz,,,,,,,,,,,,
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",y,L,Aves,Collared flycatcher,Ficedula albicollis,Ficedula_albicollis,"Ficedula albicollis Temminck, 1815",volant,high,pursuit,Handbook_birds_of_the_world,10.85,amniote,Behavioural,Behavioural,mean,138.2,6.5,SD,138.2,141,mean at 1500 cd.m-2 ; maximum 141 Hz,,,,,,,,,,,,
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",y,L,Aves,European pied flycatcher,Ficedula hypoleuca,Ficedula_hypoleuca,"Ficedula hypoleuca Pallas, 1764",volant,high,pursuit,Handbook_birds_of_the_world,12.775,amniote,Behavioural,Behavioural,mean,128.1,9.8,SD,128.1,146,mean at 1500 cd.m-2 ; maximum 146 Hz,,,,,,,,,,,,
