"","taxa_group","taxa_phyla","taxa_class","Light_Level","Method","Max_CFF_Hz","Bodymass.g.","Habitat","mode_of_life","animal"
"Acanthaster_planci","invert","echinoderm","echinoderm","high","ERG",0.7,1600,"marine_reef","pred_forage","Acanthaster_planci"
"Drosophila_hydei","invert","arthropod","insect","low","ERG",100,0.00102,"volant","scavenger","Drosophila_hydei"
"Locustaevora_migratoriae","invert","arthropod","insect","low","ERG",90,1,"volant","herbivore","Locustaevora_migratoriae"
"Chrysomya_megacephala","invert","arthropod","insect","high","ERG",300,0.00915,"volant","scavenger","Chrysomya_megacephala"
"Saturnia_pavonia","invert","arthropod","insect","low","ERG",85,0.34,"volant","herbivore","Saturnia_pavonia"
"Rhynchophorus_ferrugineus","invert","arthropod","insect","high","ERG",100,1.8,"volant","herbivore","Rhynchophorus_ferrugineus"
"Melanophila_acuminata","invert","arthropod","insect","high","ERG",300,0.02116,"volant","pred_forage","Melanophila_acuminata"
"Apis_mellifera_mellifera","invert","arthropod","insect","high","ERG",300,0.0268,"volant","herbivore","Apis_mellifera_mellifera"
"Periplaneta_americana","invert","arthropod","insect","low","ERG",60,42.5,"terrestrial","scavenger","Periplaneta_americana"
"Sympetrum_flaveolum","invert","arthropod","insect","high","ERG",300,0.72,"volant","pred_pursuit","Sympetrum_flaveolum"
"Bathynectes_longipes","invert","arthropod","crustacean","low","ERG",14,1.79,"demersal","pred_forage","Bathynectes_longipes"
"Cambarus_diogenes","invert","arthropod","crustacean","low","ERG",56,29,"demersal","pred_forage","Cambarus_diogenes"
"Jasus_edwardsii","invert","arthropod","crustacean","low","ERG",60,226.4,"demersal","pred_forage","Jasus_edwardsii"
"Pagurus_bernhardus","invert","arthropod","crustacean","high","ERG",56,7.3,"demersal","pred_forage","Pagurus_bernhardus"
"Gastroptychus_spinifer","invert","arthropod","crustacean","low","ERG",10,3.08,"demersal","pred_forage","Gastroptychus_spinifer"
"Alpheus_heterochaelis","invert","arthropod","crustacean","high","ERG",200,1,"marine_reef","pred_ballistic","Alpheus_heterochaelis"
"Heterocarpus_ensifer","invert","arthropod","crustacean","low","ERG",16,0.066,"demersal","scavenger","Heterocarpus_ensifer"
"Eugonatonotus_crassus","invert","arthropod","crustacean","low","ERG",24,1.44,"demersal","pred_forage","Eugonatonotus_crassus"
"Acanthephyra_purpurea","invert","arthropod","crustacean","low","ERG",18,0.27,"pelagic","pred_forage","Acanthephyra_purpurea"
"Oplophorus_gracilirostris","invert","arthropod","crustacean","low","ERG",32,0.26,"bathypelagic","pred_ballistic","Oplophorus_gracilirostris"
"Systellaspis_debilis","invert","arthropod","crustacean","low","ERG",21,0.28,"bathypelagic","pred_ballistic","Systellaspis_debilis"
"Janicella_spinicauda","invert","arthropod","crustacean","low","ERG",29,0.27,"demersal","scavenger","Janicella_spinicauda"
"Pasiphaea_multidentata","invert","arthropod","crustacean","low","ERG",21,7.39,"bathypelagic","pred_ballistic","Pasiphaea_multidentata"
"Sergestes_arcticus","invert","arthropod","crustacean","low","ERG",21,0.62,"benthopelagic","pred_ballistic","Sergestes_arcticus"
"Funchalia_villosa","invert","arthropod","crustacean","low","ERG",24,0.0245,"demersal","pred_ballistic","Funchalia_villosa"
"Stylocheiron_maximum","invert","arthropod","crustacean","high","ERG",44,0.048,"bathypelagic","pred_ballistic","Stylocheiron_maximum"
"Euphausia_gibboides","invert","arthropod","crustacean","low","ERG",32,0.07,"bathypelagic","pred_forage","Euphausia_gibboides"
"Nematobrachion_flexipes","invert","arthropod","crustacean","low","ERG",44,0.038,"bathypelagic","pred_ballistic","Nematobrachion_flexipes"
"Nematobrachion_boopis","invert","arthropod","crustacean","low","ERG",50,0.072,"bathypelagic","pred_ballistic","Nematobrachion_boopis"
"Nematobrachion_sexspinosum","invert","arthropod","crustacean","low","ERG",54,0.13,"bathypelagic","pred_ballistic","Nematobrachion_sexspinosum"
"Nematoscelis_megalops","invert","arthropod","crustacean","low","ERG",48,0.066,"bathypelagic","pred_ballistic","Nematoscelis_megalops"
"Ligia_occidentalis","invert","arthropod","crustacean","high","ERG",120,1,"demersal","scavenger","Ligia_occidentalis"
"Booralana_tricarinata","invert","arthropod","crustacean","low","ERG",4,0.956,"demersal","scavenger","Booralana_tricarinata"
"Glyptonotus_antarcticus","invert","arthropod","crustacean","low","ERG",12,3.93,"demersal","scavenger","Glyptonotus_antarcticus"
"Maevia_inclemens","invert","arthropod","spider","high","ERG",40,0.0145,"terrestrial","pred_ballistic","Maevia_inclemens"
"Lycosa_beihaiensis","invert","arthropod","spider","low","ERG",10,6.2,"terrestrial","pred_ballistic","Lycosa_beihaiensis"
"Branchiomma_vesiculosum","invert","annelid","polychaete","low","ERG",35,2,"demersal","deposite","Branchiomma_vesiculosum"
"Gallus_gallus","vert","aves","aves","high","Beh",87,2710,"terrestrial","herbivore","Gallus_gallus"
"Melopsittacus_undulatus","vert","aves","aves","high","Beh",74.7,33.6,"volant","herbivore","Melopsittacus_undulatus"
"Parus_caeruleus","vert","aves","aves","high","Beh",131,10,"volant","pred_forage","Parus_caeruleus"
