,taxa_group,taxa_phyla,taxa_class,Light_Level_old,Light_Level,Method,Max_CFF_Hz,Bodymass.g.,Habitat,mode_of_life,animal
Acanthaster_planci,invert,echinoderm,echinoderm,high,high,ERG,0.7,1600,marine_reef,pred_forage,Acanthaster_planci
Booralana_tricarinata,invert,arthropod,crustacean,low,low,ERG,4,0.956,demersal,scavenger,Booralana_tricarinata
Bufo_marinus,vert,amphibian,amphibian,low,low,ERG,7,2500,terrestrial,pred_ballistic,Bufo_marinus
Gastroptychus_spinifer,invert,arthropod,crustacean,low,low,ERG,10,3.08,demersal,pred_forage,Gastroptychus_spinifer
Lycosa_beihaiensis,invert,arthropod,spider,low,low,ERG,10,6.2,terrestrial,pred_ballistic,Lycosa_beihaiensis
Mustelus_manazo,vert,elasmo,shark,low,low,ERG,10,5700,demersal,pred_forage,Mustelus_manazo
Glyptonotus_antarcticus,invert,arthropod,crustacean,low,low,ERG,12,3.93,demersal,scavenger,Glyptonotus_antarcticus
Mustelus_canis,vert,elasmo,shark,low,low,ERG,13,1570,demersal,pred_forage,Mustelus_canis
Bathynectes_longipes,invert,arthropod,crustacean,low,low,ERG,14,1.79,demersal,pred_forage,Bathynectes_longipes
Anguilla_anguilla,vert,fish,fish,low,low,Beh,14,71.1,demersal,pred_forage,Anguilla_anguilla
Dermochelys_coriacea_MVZ149847,vert,reptile,turtle,high,high,ERG,15,354000,pelagic,pred_forage,Dermochelys_coriacea_MVZ149847
Heterocarpus_ensifer,invert,arthropod,crustacean,low,low,ERG,16,0.066,demersal,scavenger,Heterocarpus_ensifer
Acanthephyra_purpurea,invert,arthropod,crustacean,low,low,ERG,18,0.27,pelagic,pred_forage,Acanthephyra_purpurea
Carcharhinus_acronotus,vert,elasmo,shark,low,low,ERG,18,14491,pelagic,pred_ballistic,Carcharhinus_acronotus
Gekko_gecko,vert,reptile,reptile,low,low,ERG,20,54.8,arboreal,pred_ballistic,Gekko_gecko
Squalus_acanthias,vert,elasmo,shark,low,low,ERG,20,2000,demersal,pred_forage,Squalus_acanthias
Systellaspis_debilis,invert,arthropod,crustacean,low,low,ERG,21,0.28,bathypelagic,pred_ballistic,Systellaspis_debilis
Pasiphaea_multidentata,invert,arthropod,crustacean,low,low,ERG,21,7.39,bathypelagic,pred_ballistic,Pasiphaea_multidentata
Sergestes_arcticus,invert,arthropod,crustacean,low,low,ERG,21,0.62,benthopelagic,pred_ballistic,Sergestes_arcticus
Rana_clamitans,vert,amphibian,amphibian,low,low,ERG,21,60,terrestrial,pred_ballistic,Rana_clamitans
Eugonatonotus_crassus,invert,arthropod,crustacean,low,low,ERG,24,1.44,demersal,pred_forage,Eugonatonotus_crassus
Funchalia_villosa,invert,arthropod,crustacean,low,low,ERG,24,0.0245,demersal,pred_ballistic,Funchalia_villosa
Oncorhynchus_mykiss,vert,fish,fish,low,low,Beh,27,4000,benthopelagic,pred_ballistic,Oncorhynchus_mykiss
Sphyrna_lewini,vert,elasmo,shark,low,low,ERG,27.3,1893,pelagic,pred_ballistic,Sphyrna_lewini
Janicella_spinicauda,invert,arthropod,crustacean,low,low,ERG,29,0.27,demersal,scavenger,Janicella_spinicauda
Anolis_limifrons,vert,reptile,reptile,high,low,ERG,29,1.006,arboreal,pred_ballistic,Anolis_limifrons
Ambystoma_tigrinum,vert,amphibian,amphibian,low,low,ERG,30,10.78,terrestrial,pred_ballistic,Ambystoma_tigrinum
Leucoraja_erinacea,vert,elasmo,skate,low,low,ERG,30,500,demersal,pred_ballistic,Leucoraja_erinacea
Rhinobatos_productus,vert,elasmo,skate,low,low,VEP,30,9800,demersal,pred_forage,Rhinobatos_productus
Oplophorus_gracilirostris,invert,arthropod,crustacean,low,low,ERG,32,0.26,bathypelagic,pred_ballistic,Oplophorus_gracilirostris
Euphausia_gibboides,invert,arthropod,crustacean,low,low,ERG,32,0.07,bathypelagic,pred_forage,Euphausia_gibboides
