"","taxa_group","taxa_phyla","taxa_class","Light_Level","Method","Max_CFF_Hz","Bodymass.g.","Habitat","mode_of_life"
"Drosophila_hydei","invert","arthropod","insect","high","ERG",100,0.09,"volant","pred_forage"
"Locustaevora_migratoriae","invert","arthropod","insect","low","ERG",90,1,"volant","pred_forage"
"Chrysomya_megacephala","invert","arthropod","insect","high","ERG",300,0.0092,"volant","pred_forage"
"Glossina_morsitans_morsitans","invert","arthropod","insect","high","ERG",205,0.0092,"volant","pred_forage"
"Saturnia_pavonia","invert","arthropod","insect","low","ERG",85,0.34,"volant","pred_forage"
"Antheraea_pernyi","invert","arthropod","insect","low","ERG",70,0.34,"volant","pred_forage"
"Rhynchophorus_ferrugineus","invert","arthropod","insect","high","ERG",100,0.9,"volant","pred_forage"
"Chauliognathus_marginatus","invert","arthropod","insect","high","ERG",45,0.01563,"terrestrial","pred_forage"
"Melanophila_acuminata","invert","arthropod","insect","high","ERG",400,0.02116,"volant","pred_forage"
"Xenos_peckii","invert","arthropod","insect","high","ERG",35,0.00102,"volant","pred_forage"
"Apis_mellifera_mellifera","invert","arthropod","insect","high","ERG",300,0.0268,"volant","pred_forage"
"Periplaneta_americana","invert","arthropod","insect","low","ERG",60,42.5,"terrestrial","pred_forage"
"Sympetrum_flaveolum","invert","arthropod","insect","high","ERG",300,0.72,"volant","pred_pursuit"
"Bathynectes_longipes","invert","arthropod","crustacean","low","ERG",14,1.79,"demersal","pred_forage"
"Cambarus_diogenes","invert","arthropod","crustacean","low","ERG",56,29,"demersal","pred_forage"
"Jasus_edwardsii","invert","arthropod","crustacean","low","ERG",60,226.4,"demersal","pred_forage"
"Pagurus_bernhardus","invert","arthropod","crustacean","high","ERG",56,7.3,"demersal","pred_forage"
"Gastroptychus_spinifer","invert","arthropod","crustacean","low","ERG",10,3.08,"demersal","pred_forage"
"Alpheus_heterochaelis","invert","arthropod","crustacean","high","ERG",200,1,"demersal","pred_ballistic"
"Ancylomenes_pedersoni","invert","arthropod","crustacean","high","ERG",48,0.25,"demersal","pred_forage"
"Heterocarpus_ensifer","invert","arthropod","crustacean","low","ERG",16,0.066,"demersal","pred_forage"
"Eugonatonotus_crassus","invert","arthropod","crustacean","low","ERG",24,1.44,"demersal","pred_forage"
"Acanthephyra_purpurea","invert","arthropod","crustacean","low","ERG",18,0.27,"pelagic","pred_forage"
"Oplophorus_gracilirostris","invert","arthropod","crustacean","low","ERG",32,0.26,"pelagic","pred_ballistic"
"Systellaspis_debilis","invert","arthropod","crustacean","low","ERG",21,0.28,"pelagic","pred_ballistic"
"Janicella_spinicauda","invert","arthropod","crustacean","low","ERG",29,0.27,"demersal","pred_forage"
"Pasiphaea_multidentata","invert","arthropod","crustacean","low","ERG",21,7.39,"pelagic","pred_ballistic"
"Sergestes_arcticus","invert","arthropod","crustacean","low","ERG",21,0.62,"demersal","pred_ballistic"
"Funchalia_villosa","invert","arthropod","crustacean","low","ERG",24,0.0245,"demersal","pred_ballistic"
"Stylocheiron_maximum","invert","arthropod","crustacean","low","ERG",44,0.048,"pelagic","pred_ballistic"
"Euphausia_gibboides","invert","arthropod","crustacean","low","ERG",32,0.07,"pelagic","pred_forage"
"Nematobrachion_flexipes","invert","arthropod","crustacean","low","ERG",44,0.038,"pelagic","pred_ballistic"
